op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,Bieriņi,Spirgus 4,2,47.0,2.0,2.0,Renov.,Wood,All amenities,75000.0,56.921482700000006,24.069688199999998
For rent,centrs,Klijānu 12,2,32.0,1.0,3.0,Jaun.,Brick,All amenities,27.0,56.973195700000005,24.1490465
For rent,centrs,Vesetas 26,2,43.0,4.0,9.0,Jaun.,Panel-Brick,All amenities,50.0,56.962820900000004,24.1203782
For rent,centrs,Bruņinieku 72,1,49.0,3.0,3.0,Jaun.,Masonry,All amenities,550.0,56.9524426,24.138755914213892
For rent,Dārzciems,Nīcgales 52,1,35.0,2.0,5.0,103.,Brick,All amenities,250.0,56.950588399999994,24.173423899999996
For rent,Purvciems,Nīcgales 52,1,35.0,2.0,5.0,103.,Brick,All amenities,250.0,56.950588399999994,24.173423899999996
For sale,Purvciems,Nīcgales 4,2,50.0,4.0,9.0,602.,Panel,All amenities,59500.0,56.95855255,24.175316327579107
For rent,centrs,Dzirnavu 6,3,60.0,3.0,5.0,Renov.,Masonry,All amenities,700.0,56.9612002,24.107539410990753
For rent,centrs,Barona 28,3,93.0,5.0,5.0,P. kara,Masonry,All amenities,465.0,56.952144,24.1234383
For rent,centrs,Lāčplēša 70,3,85.0,3.0,5.0,P. kara,Brick,All amenities,600.0,56.9505257,24.1319905
For rent,Jugla,Brīvības gatve 365,2,40.0,1.0,5.0,Hrušč.,Brick,All amenities,280.0,56.98777415,24.219018050000006
For sale,centrs,Birznieka-Upīša 18a,3,70.0,3.0,7.0,Renov.,Masonry,All amenities,155000.0,56.9491897,24.1285
For sale,centrs,Rūdolfa 1,1,30.0,3.0,6.0,P. kara,Brick,All amenities,58000.0,56.9620224,24.15219394772615
For rent,centrs,Tomsona 30,2,55.0,5.0,9.0,Jaun.,Panel,All amenities,500.0,56.9665863,24.1282258
For rent,Jugla,Brīvības gatve 405/1,2,46.0,2.0,5.0,Hrušč.,Brick,All amenities,340.0,56.9730973,24.166072800000002
For sale,Berģi,Berģu 17,2,51.0,1.0,2.0,Jaun.,Masonry,All amenities,75900.0,56.999762399999994,24.276191100000002
For sale,Dzegužkalns,Lielezeres 10,3,65.0,5.0,5.0,Jaun.,Masonry,All amenities,94000.0,56.95924805,24.055202274196077
